index,ground_truth,nominal_pred,nominal_conf,guardian_pred,guardian_conf,disagreement,flagged,reason
105,0,1,0.99999964,0,0.5000598,1,0,clean
106,0,1,0.9999999,1,0.500008,0,0,clean
107,0,1,1.0,1,0.5055125,0,0,clean
108,1,0,0.9999734,1,0.5030833,1,0,clean
109,0,1,0.99999964,0,0.5000604,1,0,clean
110,0,1,0.99999964,1,0.50012046,0,0,clean
111,0,1,0.99999976,0,0.5000564,1,0,clean
112,0,1,0.9999999,0,0.5000213,1,0,clean
113,0,1,0.9999982,1,0.5056698,0,0,clean
114,0,1,1.0,1,0.50550056,0,0,clean
115,0,1,0.99999964,0,0.500059,1,0,clean
116,0,1,1.0,1,0.50557804,0,0,clean
117,0,1,1.0,1,0.50558555,0,0,clean
118,0,1,1.0,1,0.50551313,0,0,clean
119,1,0,0.99922514,1,0.50308704,1,0,clean
120,1,0,0.9999187,0,0.50251234,0,0,clean
121,0,1,0.9999999,1,0.50001276,0,0,clean
122,0,1,0.99999976,1,0.50009185,0,0,clean
123,0,1,0.9999999,1,0.5000014,0,0,clean
124,0,1,0.9999999,1,0.5054379,0,0,clean
125,0,1,0.99999976,0,0.5000223,1,0,clean
126,0,1,0.99999964,0,0.5000638,1,0,clean
127,0,1,0.99999964,0,0.50005615,1,0,clean
128,0,1,0.9999999,1,0.5000086,0,0,clean
129,0,1,1.0,1,0.50545514,0,0,clean
130,0,1,0.9999999,1,0.50009567,0,0,clean
131,0,1,0.9999999,0,0.5000275,1,0,clean
132,0,1,0.9999999,0,0.50003767,1,0,clean
133,0,1,0.99999964,0,0.5000748,1,0,clean
134,1,1,1.0,1,0.50556254,0,0,clean
135,1,0,0.99857914,1,0.50312555,1,0,clean
136,1,0,0.9997844,1,0.50307596,1,0,clean
137,1,0,0.9999913,0,0.50252235,0,0,clean
138,0,1,1.0,0,0.5000135,1,0,clean
139,0,0,0.99987483,1,0.50297105,1,0,clean
140,0,1,1.0,1,0.50554365,0,0,clean
141,0,1,0.9999999,0,0.50002027,1,0,clean
142,0,1,0.9999999,1,0.50002253,0,0,clean
143,0,1,0.9999999,0,0.5000097,1,0,clean
144,0,1,0.9999999,1,0.50003356,0,0,clean
145,0,1,0.9999999,1,0.50000954,0,0,clean
146,0,1,0.99999976,0,0.5000606,1,0,clean
147,0,1,0.9999999,0,0.50000113,1,0,clean
148,0,1,0.99999964,0,0.5000541,1,0,clean
149,0,1,0.99999964,0,0.5000545,1,0,clean
150,0,1,0.99999976,0,0.50005174,1,0,clean
151,0,1,1.0,1,0.5054977,0,0,clean
152,0,1,0.99999964,0,0.50005364,1,0,clean
153,0,1,1.0,1,0.50551796,0,0,clean
154,1,0,0.9999443,1,0.50307953,1,0,clean
155,1,0,0.9985959,0,0.5024563,0,0,clean
156,0,1,1.0,1,0.50555533,0,0,clean
157,1,0,0.9999186,0,0.5025125,0,0,clean
158,0,1,0.9999999,0,0.50005084,1,0,clean
159,1,0,0.99996305,1,0.50300634,1,0,clean
160,1,1,0.99999976,0,0.5000629,1,0,clean
161,1,0,0.9996525,0,0.5023799,0,0,clean
162,0,1,0.9999999,0,0.5000283,1,0,clean
163,0,1,0.9999999,0,0.5000122,1,0,clean
164,0,1,1.0,1,0.5054659,0,0,clean
165,0,1,0.99999976,1,0.5055727,0,0,clean
166,0,1,0.9999999,0,0.50003135,1,0,clean
167,0,1,1.0,1,0.50003,0,0,clean
168,0,1,0.9999999,1,0.5000126,0,0,clean
169,1,0,0.99955803,1,0.5030538,1,0,clean
170,1,0,0.99998283,1,0.5032095,1,0,clean
171,0,1,1.0,1,0.50555444,0,0,clean
172,1,0,0.99963,1,0.503069,1,0,clean
173,0,1,0.9999999,0,0.5000296,1,0,clean
174,0,1,0.99999964,0,0.5000536,1,0,clean
175,0,1,0.99999964,0,0.500051,1,0,clean
176,0,1,1.0,1,0.5054675,0,0,clean
177,0,1,0.9999999,0,0.50001013,1,0,clean
178,0,0,0.9999906,1,0.5030091,1,0,clean
179,0,1,0.99999976,1,0.5000273,0,0,clean
180,1,0,0.99960166,1,0.50307196,1,0,clean
181,0,0,0.9999492,1,0.5030813,1,0,clean
182,0,1,1.0,1,0.5054961,0,0,clean
183,0,1,1.0,0,0.5000245,1,0,clean
184,0,1,0.9999999,0,0.5000058,1,0,clean
185,0,1,0.99999964,0,0.5000592,1,0,clean
186,1,1,0.9999999,0,0.50002235,1,0,clean
187,0,1,1.0,1,0.50557226,0,0,clean
188,0,1,1.0,0,0.5000155,1,0,clean
189,0,1,1.0,1,0.50551313,0,0,clean
190,0,1,1.0,1,0.5055602,0,0,clean
191,0,1,0.9999999,1,0.50009257,0,0,clean
192,0,1,0.99999964,0,0.50005186,1,0,clean
193,0,1,0.99999964,0,0.50005925,1,0,clean
194,1,0,0.99984515,1,0.50303817,1,0,clean
195,1,0,0.99890244,0,0.50251883,0,0,clean
196,0,1,1.0,1,0.5000483,0,0,clean
197,0,1,0.9999999,0,0.50002056,1,0,clean
198,1,0,0.9994301,1,0.5030764,1,0,clean
199,1,0,0.99934703,0,0.50245005,0,0,clean
200,0,0,0.9999665,1,0.5029697,1,0,clean
201,0,1,0.9999999,1,0.50003874,0,0,clean
202,0,1,1.0,1,0.50547904,0,0,clean
203,0,0,0.9999429,1,0.5030244,1,0,clean
204,0,1,1.0,1,0.5000665,0,0,clean
205,0,1,1.0,1,0.5054774,0,0,clean
206,0,1,1.0,1,0.5001158,0,0,clean
207,0,1,0.99999964,0,0.5000779,1,0,clean
208,1,1,1.0,1,0.50001204,0,0,clean
209,1,0,0.99986196,1,0.50305396,1,0,clean
210,0,1,1.0,0,0.50002587,1,0,clean
211,1,0,0.99925035,0,0.50242895,0,0,clean
212,1,1,0.99999964,0,0.5000563,1,0,clean
213,1,0,0.9997003,1,0.50307894,1,0,clean
214,0,1,0.99999774,1,0.5056882,0,0,clean
215,0,1,1.0,1,0.50011337,0,0,clean
216,0,1,0.99999964,1,0.50008494,0,0,clean
217,1,0,0.9994301,1,0.5030764,1,0,clean
218,0,1,0.99999976,0,0.50007063,1,0,clean
219,0,1,0.9999999,0,0.5000095,1,0,clean
220,0,1,0.9999999,1,0.5000026,0,0,clean
221,0,1,1.0,1,0.5054858,0,0,clean
222,0,1,0.9999999,1,0.50001156,0,0,clean
223,0,1,1.0,1,0.5055189,0,0,clean
224,0,1,0.9999999,1,0.50007844,0,0,clean
225,0,1,0.9999999,1,0.50009763,0,0,clean
226,0,1,0.9999999,0,0.5000122,1,0,clean
227,0,1,1.0,1,0.50551087,0,0,clean
228,0,1,0.9999999,1,0.5000769,0,0,clean
229,1,1,0.9999999,0,0.500042,1,0,clean
230,1,0,0.99952376,1,0.50307834,1,0,clean
231,0,1,0.9999999,1,0.5000521,0,0,clean
232,0,1,0.9999999,0,0.50000715,1,0,clean
233,0,1,0.9999999,0,0.5000342,1,0,clean
234,0,1,1.0,1,0.5055533,0,0,clean
235,0,1,0.9999999,0,0.50000167,1,0,clean
236,0,1,0.9999999,0,0.50002295,1,0,clean
237,0,1,1.0,1,0.5055128,0,0,clean
238,0,1,1.0,1,0.5054842,0,0,clean
239,0,1,1.0,1,0.50005335,0,0,clean
240,0,1,0.99999964,0,0.5000428,1,0,clean
241,0,1,0.99999964,0,0.5000432,1,0,clean
242,1,0,0.9999889,0,0.50252783,0,0,clean
243,1,0,0.9998336,1,0.5030735,1,0,clean
244,0,1,0.9999999,1,0.500033,0,0,clean
245,0,1,0.99999964,0,0.5000583,1,0,clean
246,0,1,1.0,1,0.50015885,0,0,clean
247,0,1,1.0,1,0.5055536,0,0,clean
248,1,0,0.9999136,0,0.5024152,0,0,clean
249,0,1,0.9999999,1,0.50010014,0,0,clean
250,0,1,0.99999964,0,0.5000607,1,0,clean
251,0,1,0.9999999,0,0.5000356,1,0,clean
252,0,1,0.99999964,0,0.5000599,1,0,clean
253,0,0,0.9999608,1,0.5030254,1,0,clean
254,0,1,0.99999964,0,0.50005174,1,0,clean
255,0,1,0.9999999,1,0.5000061,0,0,clean
256,0,1,0.99999964,0,0.5000721,1,0,clean
257,1,0,0.99989843,0,0.50251955,0,0,clean
258,1,0,0.99963,1,0.503069,1,0,clean
259,0,1,1.0,0,0.50004375,1,0,clean
260,0,1,0.9999999,0,0.5000332,1,0,clean
261,0,1,0.99999964,0,0.5000581,1,0,clean
262,0,1,0.9999999,0,0.5000303,1,0,clean
263,0,1,0.9999999,1,0.50000316,0,0,clean
264,0,1,1.0,1,0.50011843,0,0,clean
265,1,0,0.9999765,0,0.5025323,0,0,clean
266,0,1,0.99999964,0,0.5000566,1,0,clean
267,0,1,1.0,1,0.5001356,0,0,clean
268,0,1,0.9999999,0,0.50000715,1,0,clean
269,0,1,0.9999999,0,0.5000211,1,0,clean
270,1,1,1.0,1,0.5055703,0,0,clean
271,0,0,0.99998116,1,0.50300515,1,0,clean
272,0,1,0.9999999,0,0.5000129,1,0,clean
273,1,0,0.9999033,1,0.5030328,1,0,clean
274,0,1,0.99999964,0,0.50005674,1,0,clean
275,0,1,1.0,1,0.5054809,0,0,clean
276,0,1,0.9999999,0,0.5000059,1,0,clean
277,0,1,0.9999999,1,0.5000941,0,0,clean
278,0,1,1.0,1,0.5055578,0,0,clean
279,0,1,0.99999976,0,0.5000024,1,0,clean
280,0,1,0.99999964,0,0.50007653,1,0,clean
281,0,1,0.9999999,0,0.5000277,1,0,clean
282,1,0,0.99994934,1,0.50308233,1,0,clean
283,0,1,0.9999999,1,0.5000976,0,0,clean
284,0,1,0.9999999,0,0.50000834,1,0,clean
285,0,1,0.9999999,1,0.5000932,0,0,clean
286,0,1,0.9999999,0,0.5000076,1,0,clean
287,0,1,0.9999999,0,0.50000685,1,0,clean
288,0,1,0.9999999,1,0.5000923,0,0,clean
289,0,1,1.0,1,0.50558573,0,0,clean
290,0,1,0.9999999,0,0.5000282,1,0,clean
291,1,1,1.0,1,0.5000419,0,0,clean
292,0,1,0.99999964,0,0.5000595,1,0,clean
293,0,1,0.99999976,0,0.50003827,1,0,clean
294,0,1,1.0,1,0.5055168,0,0,clean
295,0,1,0.9999999,0,0.500014,1,0,clean
296,0,1,0.99999964,0,0.50005877,1,0,clean
297,0,1,0.99999976,0,0.50005364,1,0,clean
298,1,0,0.9977921,0,0.50243556,0,0,clean
299,0,1,1.0,1,0.5055589,0,0,clean
300,1,1,0.99999976,0,0.50004524,1,0,clean
301,1,1,1.0,1,0.5055788,0,0,clean
302,1,0,0.9995976,1,0.50291413,1,0,clean
303,0,1,0.9999999,1,0.50003386,0,0,clean
304,0,1,1.0,1,0.505462,0,0,clean
305,0,1,0.9999999,0,0.500013,1,0,clean
306,0,1,0.9999999,1,0.50001764,0,0,clean
307,1,0,0.99942565,1,0.50307477,1,0,clean
308,1,0,0.99991584,1,0.5029682,1,0,clean
309,0,1,1.0,1,0.50010264,0,0,clean
310,0,1,1.0,1,0.50006896,0,0,clean
311,0,1,0.9999999,0,0.50002307,1,0,clean
312,0,1,0.9999999,0,0.50002754,1,0,clean
313,1,0,0.99988234,1,0.50305843,1,0,clean
314,0,1,0.9999999,0,0.5000034,1,0,clean
315,0,1,0.99999964,0,0.5000558,1,0,clean
316,0,0,0.9999256,1,0.50308055,1,0,clean
317,0,1,0.9999999,1,0.5054616,0,0,clean
318,0,1,0.9999999,0,0.5000394,1,0,clean
319,1,0,0.99961084,1,0.5030535,1,0,clean
320,0,1,0.99999976,0,0.50006753,1,0,clean
321,1,0,0.99964404,1,0.5030542,1,0,clean
322,0,1,0.99999964,1,0.50007486,0,0,clean
323,0,1,0.9999999,1,0.5000322,0,0,clean
324,1,0,0.9996475,1,0.5030514,1,0,clean
325,0,1,1.0,1,0.5055968,0,0,clean
326,0,1,1.0,1,0.5000457,0,0,clean
327,0,1,0.9999999,1,0.50003684,0,0,clean
328,0,1,0.99999964,0,0.5000598,1,0,clean
329,0,1,0.99999964,0,0.5000531,1,0,clean
330,1,0,0.9993617,1,0.5030606,1,0,clean
331,1,0,0.9996037,1,0.50307155,1,0,clean
332,1,1,0.9999999,0,0.5000388,1,0,clean
333,0,1,0.9999883,1,0.5057209,0,0,clean
334,1,0,0.9998264,0,0.502445,0,0,clean
335,1,1,0.9999999,0,0.50005084,1,0,clean
336,0,1,1.0,1,0.5055162,0,0,clean
337,0,1,0.9999999,0,0.5000177,1,0,clean
338,0,1,0.9999999,1,0.5056048,0,0,clean
339,0,1,0.9999999,0,0.5000067,1,0,clean
340,1,0,0.9968053,1,0.50313026,1,0,clean
341,0,1,0.9999999,0,0.5000236,1,0,clean
342,1,1,0.9999999,0,0.50002295,1,0,clean
343,0,1,0.9999999,1,0.5001022,0,0,clean
344,0,1,0.9999999,1,0.500011,0,0,clean
345,0,1,0.9999999,1,0.50009555,0,0,clean
346,0,1,0.99999964,0,0.50007683,1,0,clean
347,0,1,0.9999999,0,0.50004566,1,0,clean
348,0,1,0.9999999,1,0.50003326,0,0,clean
349,0,1,0.99999964,0,0.50007665,1,0,clean
350,0,1,0.9999999,0,0.50003123,1,0,clean
351,0,1,1.0,1,0.50546336,0,0,clean
352,1,0,0.99966455,1,0.5030545,1,0,clean
353,0,1,1.0,1,0.5000006,0,0,clean
354,0,1,0.9999999,0,0.50003844,1,0,clean
355,0,1,0.9999999,1,0.5000926,0,0,clean
356,0,1,1.0,1,0.500016,0,0,clean
357,0,0,0.9996629,1,0.50295705,1,0,clean
358,0,1,0.99999964,0,0.5000744,1,0,clean
359,1,0,0.99992096,0,0.50251293,0,0,clean
360,0,0,0.9998753,1,0.5029336,1,0,clean
361,0,1,0.99999964,0,0.500041,1,0,clean
362,0,1,1.0,0,0.5000202,1,0,clean
363,0,1,1.0,1,0.50001436,0,0,clean
364,0,1,0.9999999,0,0.50004303,1,0,clean
365,0,1,0.9999999,1,0.5000162,0,0,clean
366,0,1,0.9999999,0,0.5000435,1,0,clean
367,0,1,1.0,1,0.5054377,0,0,clean
368,1,0,0.9999603,0,0.502505,0,0,clean
369,0,1,0.9999999,0,0.5000412,1,0,clean
370,0,1,1.0,1,0.50008035,0,0,clean
371,0,1,0.9999999,0,0.5000254,1,0,clean
372,0,1,0.9999999,1,0.50004387,0,0,clean
373,0,1,1.0,1,0.50546193,0,0,clean
374,1,0,0.9994405,1,0.5030583,1,0,clean
375,0,1,0.9999999,1,0.5000779,0,0,clean
376,0,1,0.9999999,0,0.50002366,1,0,clean
377,0,1,0.99999964,0,0.5000464,1,0,clean
378,0,1,0.9999999,0,0.5000246,1,0,clean
379,0,1,1.0,0,0.5000448,1,0,clean
380,0,1,0.9999999,1,0.50009626,0,0,clean
381,1,0,0.9998568,1,0.50307554,1,0,clean
382,0,1,0.99999964,0,0.50007725,1,0,clean
383,0,1,1.0,0,0.5000126,1,0,clean
384,0,1,0.99999976,0,0.50005656,1,0,clean
385,0,1,0.9999999,1,0.50004435,0,0,clean
386,0,1,0.9999999,1,0.50009423,0,0,clean
387,0,1,0.9999999,1,0.5001015,0,0,clean
388,0,1,1.0,1,0.50549155,0,0,clean
389,0,1,0.9999999,1,0.5000389,0,0,clean
390,0,1,0.9999999,1,0.5000411,0,0,clean
391,0,1,0.9999999,1,0.5000003,0,0,clean
392,0,1,0.99999964,0,0.5000584,1,0,clean
393,0,1,0.99999976,0,0.5000738,1,0,clean
394,0,1,0.99999976,1,0.50002164,0,0,clean
395,0,1,1.0,1,0.5000049,0,0,clean
396,0,0,0.99998426,1,0.5029936,1,0,clean
397,1,0,0.9993131,0,0.50246054,0,0,clean
398,0,1,0.9999999,1,0.50009954,0,0,clean
399,0,0,0.99995613,1,0.50308084,1,0,clean
400,0,1,1.0,1,0.5055621,0,0,clean
401,0,1,0.99999964,0,0.50005555,1,0,clean
402,0,1,1.0,1,0.5055547,0,0,clean
403,0,1,0.9999999,1,0.5000333,0,0,clean
404,0,1,0.99999964,0,0.50007474,1,0,clean
405,0,1,0.99999964,0,0.500047,1,0,clean
406,0,1,0.9999999,0,0.5000124,1,0,clean
407,0,1,1.0,1,0.505619,0,0,clean
408,1,0,0.9995782,1,0.5030805,1,0,clean
409,0,1,1.0,0,0.5000363,1,0,clean
410,0,1,1.0,1,0.50546247,0,0,clean
411,0,0,0.99971336,1,0.5029466,1,0,clean
412,1,0,0.99962795,0,0.5023991,0,0,clean
413,0,1,0.99999964,0,0.5000597,1,0,clean
414,0,0,0.9999801,1,0.5031248,1,0,clean
415,0,1,0.9999999,1,0.50001687,0,0,clean
416,0,1,0.9999999,1,0.5000332,0,0,clean
417,0,1,1.0,1,0.5054681,0,0,clean
418,0,1,1.0,1,0.5054964,0,0,clean
419,0,1,0.9999999,1,0.5000362,0,0,clean
420,0,1,0.9999999,0,0.50002444,1,0,clean
421,0,1,0.99999964,0,0.50007623,1,0,clean
422,0,1,0.9999999,0,0.5000291,1,0,clean
423,0,1,0.9999999,0,0.5000276,1,0,clean
424,0,1,0.9999999,0,0.5000207,1,0,clean
